"","employees","salaries_2017","adjustments","salaries_2018","got_raise"
"39","employee 39",44045.3583165072,9230.72676290758,53276.0850794148,TRUE
"40","employee 40",41272.0429524779,-3903.35732023232,37368.6856322456,FALSE
"41","employee 41",45030.8740814216,3078.97273567505,48109.8468170967,TRUE
"42","employee 42",49047.4538272247,1072.64691381715,50120.1007410418,TRUE
"43","employee 43",48098.4280863777,-4064.44489140995,44033.9831949677,FALSE
"44","employee 44",40217.6045114174,2844.72655504942,43062.3310664669,TRUE
"45","employee 45",44493.7223661691,-4425.28975894675,40068.4326072223,FALSE
"46","employee 46",40119.5732317865,-3849.58886075765,36269.9843710288,FALSE
"47","employee 47",47536.6275710985,2092.75865112431,49629.3862222228,TRUE
"48","employee 48",48960.0683981553,2493.90017823316,51453.9685763884,TRUE
"49","employee 49",40381.5242298879,-860.150398220867,39521.373831667,FALSE
"50","employee 50",43723.1793138199,9019.99002904631,52743.1693428662,TRUE
"51","employee 51",47356.6512879916,6763.01696454175,54119.6682525333,TRUE
"52","employee 52",49072.4234399386,4502.32672505081,53574.7501649894,TRUE
"53","employee 53",45422.0046941191,-1757.74848437868,43664.2562097404,FALSE
"54","employee 54",46673.9884973504,-1460.90265363455,45213.0858437158,FALSE
"55","employee 55",47788.2130886428,-4987.15417459607,42801.0589140467,FALSE
"56","employee 56",42466.5272445418,-1935.87524583563,40530.6519987062,FALSE
"57","employee 57",47411.7839499377,3045.73678178713,50457.5207317248,TRUE
"58","employee 58",48254.2373239994,-4479.50873523951,43774.7285887599,FALSE
"59","employee 59",41331.2596315518,-259.324053768069,41071.9355777837,FALSE
"60","employee 60",47798.3384183608,8215.73956753127,56014.0779858921,TRUE
"61","employee 61",48482.9990123399,6005.64519874752,54488.6442110874,TRUE
"62","employee 62",40302.363387309,4078.3738414757,44380.7372287847,TRUE
"63","employee 63",46908.9911482297,9029.63451924734,55938.625667477,TRUE
"64","employee 64",47840.7999896444,4337.40890352055,52178.208893165,TRUE
"65","employee 65",47014.4715369679,8179.82998909429,55194.3015260622,TRUE
"66","employee 66",48317.8623346612,6919.1156164743,55236.9779511355,TRUE
"67","employee 67",43179.107918404,9335.14629490674,52514.2542133108,TRUE
"68","employee 68",43371.8130877241,-725.988828344271,42645.8242593799,FALSE
"69","employee 69",48257.3084742762,5857.386556454,54114.6950307302,TRUE
"70","employee 70",48802.8848427348,236.721491673961,49039.6063344087,TRUE
"71","employee 71",47350.7067305036,8314.48640557937,55665.193136083,TRUE
"72","employee 72",47632.2886557318,8888.42811691575,56520.7167726476,TRUE
"73","employee 73",48953.9918396622,4045.25276855566,52999.2446082179,TRUE
"74","employee 74",41340.0794309564,695.166776422411,42035.2462073788,TRUE
"75","employee 75",44370.4805709422,-977.991065010428,43392.4895059317,FALSE
"76","employee 76",43673.1770378537,4753.86308156885,48427.0401194226,TRUE
"77","employee 77",43926.2387668714,963.667336618528,44889.9061034899,TRUE
"78","employee 78",47067.3812064342,-646.44014229998,46420.9410641342,FALSE
"79","employee 79",40891.8280689977,-3238.06525208056,37653.7628169172,FALSE
"80","employee 80",40063.4863879532,777.723514474928,40841.2099024281,TRUE
"81","employee 81",43214.2448471859,5032.58072421886,48246.8255714048,TRUE
"82","employee 82",49990.9752327949,3130.82084874623,53121.7960815411,TRUE
"83","employee 83",44874.0556417033,9440.1033828035,54314.1590245068,TRUE
"84","employee 84",43005.2801012062,8250.47345482744,51255.7535560336,TRUE
"85","employee 85",49654.8827039078,3298.28810645267,52953.1708103605,TRUE
"86","employee 86",45091.0617806949,-987.56700172089,44103.494778974,FALSE
"87","employee 87",41734.4129178673,-4812.69759009592,36921.7153277714,FALSE
"88","employee 88",40754.6929619275,1969.04163458385,42723.7345965113,TRUE
"89","employee 89",43924.624521751,5928.51969297044,49853.1442147214,TRUE
"90","employee 90",40031.1635201797,8437.63477983885,48468.7983000185,TRUE
"91","employee 91",48943.5992855579,1219.43475911394,50163.0340446718,TRUE
"92","employee 92",44516.8640697375,4572.56847061217,49089.4325403497,TRUE
"93","employee 93",46285.4626984335,3388.8198970817,49674.2825955153,TRUE
"94","employee 94",43825.4476385191,7949.67716676183,51775.1248052809,TRUE
"95","employee 95",41036.4067554474,1942.89766484872,42979.3044202961,TRUE
"96","employee 96",44279.1167204268,-4612.34139627777,39666.7753241491,FALSE
"97","employee 97",47708.1939554773,-3847.41478716023,43860.7791683171,FALSE
"98","employee 98",41243.7737989239,-119.626208906993,41124.1475900169,FALSE
"99","employee 99",43256.9283200428,483.630705857649,43740.5590259004,TRUE
"100","employee 100",42731.2869043089,8042.17159748077,50773.4585017897,TRUE
